timestamp,x,y,z,tof1,yaw,pitch,roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed,angle,esc_timestamp,esc_state
0,,,,,,,,,,,,,,,,,
1,1.00035,0.16823,0.0,357,9.03,-8.89,1.75,-0.01573,-0.06413,-1.00938,0.0002,0.00162,0.07215,"[19, -28, -24, 23]","[5016, 29488, 809, 24904]","[1164618, 1164613, 1164615, 1164616]","[0, 0, 0, 0]"
2,0.85203,1.17169,0.0,3094,8.67,-8.56,2.08,0.01659,-0.02811,-1.04629,0.00531,0.0039,0.00787,"[-33, -29, 40, 43]","[96, 18678, 4920, 2489]","[1166418, 1166413, 1166415, 1166416]","[0, 0, 0, 0]"
3,-0.16237,1.04019,0.0,3446,8.45,-8.78,1.87,0.21068,-0.00373,-1.00825,-0.01049,0.0097,0.01113,"[-25, 32, 40, -36]","[24781, 24438, 16670, 30092]","[1168218, 1168213, 1168215, 1168216]","[0, 0, 0, 0]"
4,-0.07775,0.02449,0.0,3110,8.61,-8.75,1.75,0.03351,0.12214,-0.98118,-0.00455,0.01093,0.00407,"[29, 27, -21, -26]","[24362, 7749, 17408, 14425]","[1170018, 1170013, 1170015, 1170016]","[0, 0, 0, 0]"
5,0.92185,0.17829,0.0,474,9.79,-8.42,1.67,-0.24447,0.04036,-1.00964,0.00878,0.00508,0.0102,"[13, -23, -19, 14]","[3052, 3477, 7318, 17594]","[1171818, 1171813, 1171815, 1171816]","[0, 0, 0, 0]"
6,0.78138,1.18716,0.0,3035,9.76,-8.21,2.04,-0.00282,-0.01174,-1.01615,0.02415,-0.0064,0.04068,"[-36, -31, 38, 24]","[32276, 23684, 10864, 29813]","[1173618, 1173613, 1173615, 1173616]","[0, 0, 0, 0]"
7,-0.2084,1.03561,0.0,1467,9.67,-8.57,1.82,0.16217,-0.00514,-1.00247,-0.01563,-0.00808,0.09142,"[-13, 15, 12, -15]","[25338, 27050, 19922, 25473]","[1175418, 1175413, 1175415, 1175416]","[0, 0, 0, 0]"
8,-0.05934,0.02421,0.0,3042,9.82,-8.54,1.65,-0.03716,0.00389,-0.97332,-0.02513,0.04573,0.04606,"[26, 23, -18, -29]","[28658, 4680, 15179, 14810]","[1177218, 1177213, 1177215, 1177216]","[0, 0, 0, 0]"
9,0.9391,0.16196,0.0,529,8.26,-8.08,1.96,-0.1951,0.02451,-1.01926,-0.00639,0.00817,0.0554,"[12, -12, -14, 12]","[6200, 32283, 8151, 20849]","[1179018, 1179013, 1179015, 1179016]","[0, 0, 0, 0]"
10,0.82407,1.16871,0.0,3102,8.39,-8.08,2.16,-0.01879,-0.07899,-0.99685,-0.01425,0.01627,-0.02091,"[-23, -15, 30, 22]","[2151, 20751, 12405, 32635]","[1180818, 1180813, 1180815, 1180816]","[0, 0, 0, 0]"
11,-0.17727,1.04567,0.0,2426,7.99,-8.5,2.11,0.22751,0.02343,-1.00482,-0.00329,-0.00884,0.01383,"[-22, 27, 17, -18]","[26535, 25020, 22833, 26973]","[1182618, 1182613, 1182615, 1182616]","[0, 0, 0, 0]"
